nationality,gender,age,overall rating,value for money rating,security rating,location rating,facilities rating,staff rating,atmosphere rating,cleanliness rating,text review
USA,Female,41+,9.4,10,10,10,6,10,10,10,one of the loveliest hostels i&#039;ve stayed at. clean. very nice staff. pancakes in the morning. it&#039;s about 2.5 miles from union station which is a stop off the train directly from denver airport. i chose to walk but there&#039;s a bus line with lots of runs from union station to the block by the hostel. hostel was kept comfortably warm. the best part of the experience was how nice all the travelers were. everyone got along great. wonderful experience.
USA,Male,25-30,10,10,10,10,10,10,10,10,love my time at the mile house house hostel. everyone was awesome during my time here. can’t wait to come back here again!
USA,Male,25-30,9.1,8,8,8,10,10,10,10,"had a great stay here. friendly staff, with a bus stop to downtown only a block away. nice porch in back to hang out on and a good common area. good little taco shop right around the corner. close to the zoo and botanical gardens as well. "
Poland,Female,18-24,10,10,10,10,10,10,10,10,"beautiful, very clean building ; awesome and kind menagement.  i&#039;m happy that i&#039;ve stayed there. "
USA,Male,25-30,8.3,10,8,6,8,10,10,6,"this place was great. the first night i got there the restroom smelled a bit, but they definitely clean. i enjoyed the hospitality, and the free breakfast was great. got breakfast once it, but it’s nice they offer it. colfax is a little sketch, but despite going alone i never had any problems. my biggest fear was my items getting stolen, but i think people staying are very kind full of others. i would recommend staying, pepsi stadium is nearby and it’s a great place to visit. price was great!"
USA,Male,25-30,9.7,8,10,10,10,10,10,10,i have a hard time sleeping in rooms with people so i should have gotten a private room. but it was good otherwise. little warm but better than being cold!
USA,Female,25-30,5.7,4,6,8,4,8,6,4,"the staff was friendly but i found this hostel to be pretty dirty. the location was decent, with a few good neighborhood options for food and such, but i wouldn&#039;t stay again. the room rate was pretty pricey for a dirty, loud (people in the hallway were talking till 12am-1am which made paying for a private room feel pointless), and smelly house."
USA,Male,25-30,8.3,8,10,6,8,10,8,8,"i had a great time staying at this hostel. the location is in a shady area, however i never had any problems."
USA,Female,25-30,10,10,10,10,10,10,10,10,i am new to the hosteling but ej and his staff made me feel incredibly welcome and i thoroughly enjoyed my stay with them and the other guests. both the staff and fellow travelers were great to talk to and get recommendations from! the hostel is kept incredibly clean and the facilities have a slightly luxurious old school meets modern cool feel. plus who doesn&#039;t want to wake up to the smell of freshly made pancakes! the hostel located close to thump coffee and the famous molly brown house!
USA,Female,25-30,9.7,10,10,10,10,10,10,8,"staying at the mile high guest house was an amazing experience!  staff and volunteers were friendly, accommodations cozy, and i met amazing people from all over the world!  the location is perfect - a little over a mile from downtown and right on top of lots of restaurants, bars, and music venues.  always something to do here!  i highly recommend mile high for an amazing hostel experience! "
USA,Female,25-30,10,10,10,10,10,10,10,10,i loved staying here!! it felt just like home plus the pancakes in the morning were great! i wanted to extend my trip because of how much i enjoyed the location and atmosphere of the mile high house!
USA,Male,18-24,10,10,10,10,10,10,10,10,"had an incredible time at the mile high house! staff was great, people were great, my whole time there was very enjoyable!"
USA,Female,18-24,9.1,10,8,8,10,10,10,8,"super charming place with beautiful rooms, a great common space, and a nice, big kitchen. this house-gone-hostel really creates a cool, casual family vibe with everyone staying there and the amazing staff too. location is a little shady honestly, it’s not the best part of denver. that said, there’s a bus stop right outside and the bus system makes it really easy to get around. also, no lockers, but they said they’re on the way.  all in all, pleasant stay, would definitely return! "
Canada,Male,31-40,9.7,10,10,10,10,10,10,8,"an amazing overnight stay, wouldn’t look further if anytime back in denver ;)"
USA,Male,25-30,9.7,10,10,8,10,10,10,10,"good location, decent pancake/coffee breakfast included, very friendly staff and nice house. "
USA,Female,18-24,9.7,10,10,8,10,10,10,10,"great place, 20 minutes (at most) to walk to grocery stores, dispensaries, the denver zoo, gardens etc. staff was very welcoming and helpful. "
USA,Male,25-30,8.9,8,8,8,10,10,10,8,"this was one of the best hostels i&#039;ve ever stayed at! it was overall, very clean and the staff were very friendly and willing to help where they could. the location was a little bit shady, but i never had any issues walking around during the day or night by myself. i would definitely consider staying here again the next time i come to denver!"
USA,Couple,25-30,9.7,8,10,10,10,10,10,10,"great place to stay. the house was beautiful, clean, and had everything we needed. we even picked up some groceries and were able to do some cooking. there was someone working at the front desk for the majority of the day, and were very helpful."
USA,Male,25-30,7.4,6,10,8,6,10,8,4,"amazingly friendly staff. common areas have a very nice and chill vibe. my bed had a few minor stains. the underlying foam mattress was very comfortable but was stained as well. there was no mattress protector or mattress pad. third-floor shower had visible gunky stuff around water jets near feet (it was a jacuzzi tub that hadn&#039;t been well cleaned). second-floor bathroom looked immaculately clean, though."
Pakistan,Male,41+,10,10,10,10,10,10,10,10,amazing people. nice clean and quit area. better for those who want to explore the denver popular areas. ideal location for local transportation. i recommend to all. my stay was very pleaunt.
Canada,Male,31-40,10,10,10,10,10,10,10,10,everything about the guest house was perfect. very chill atmosphere. great location right near colfax street. very clean. excellent staff. definitely recommend staying here
USA,Female,18-24,9.7,10,10,10,8,10,10,10,"i had a late check in and instructions were clear and sent to my email and over the phone. you put the sheets on the bed yourself, which can be difficult to do in the dark at midnight so i wish they would&#039;ve done that for me. otherwise, everything was great. pancakes were good. no butter though. located a short walk from the 15 bus and pretty convenient. you can walk to the botanical gardens, city park, and the museum of nature and science. overall good, fun looking hostel with great value!"
Brazil,Female,25-30,9.4,10,10,8,8,10,10,10,the staff is super friendly and the place it’s clean. i just had difficulty to find some grocery close to go walking.
Wales,Male,18-24,10,10,10,10,10,10,10,10,amazing place
Australia,Male,31-40,9.4,8,10,8,10,10,10,10,these folks know how to hostel!! great atmosphere fantastic staff.
Mexico,Male,31-40,9.4,10,10,10,8,10,8,10,great place to stay. close to a lot of bars and restaurants and downtown.
Macedonia,Male,25-30,9.1,10,8,10,8,10,10,8,"great staff, good  location, interesting building. free pancakes, coffee, wi-fi. i had am amazing time. will be back for sure! "
USA,Female,41+,10,10,10,10,10,10,10,10,"my stay was awesome.the staff was wonderful, made me feel at home and relaxed.location was perfect. the house was beautiful. rooms and beds were comfortable. i will recommend it and for sure stay every time i visit.  "
USA,Female,25-30,9.1,10,6,10,8,10,10,10, the mile high house was clean and the main house was quiet after 10 pm.  there is a late night common area in the garage where there are couches and games. they served free breakfast every morning and the last night i was there also had a potluck dinner that was nice.  very close to bus stop and easy access to downtown.  food and drug stores within walking distance. 
England,MixedGroup,18-24,9.4,10,10,6,10,10,10,10,love this hostel! really nice building and amazing staff. great kitchen and garage... not the nicest area but it’s ok
Israel,Male,25-30,8.9,8,10,6,10,8,10,10,amazing place with amazing atmosphere. the staff was always eager to help. also the place is squeaky clean.
Philippines,Male,25-30,8.6,10,8,8,8,8,8,10,budget friendly hostel in denver! recommended for solo travellers or backpack buddies. plenty of street parking also for those who are on tour or road trip. 
Australia,Female,18-24,9.4,10,8,8,10,10,10,10,"i had a great time here at mile high house, i would definitely stay again for the friendliness of the staff and the general atmosphere of the hostel."
Ireland,Male,31-40,9.4,10,10,8,8,10,10,10,"lovely period building, very clean and comfortable. social activities were put on every night which were great fun. special shout-out to master of ceremonies jonathan:)"
USA,Male,31-40,8.3,6,8,10,8,10,6,10,"the place is okay and may stay there again if needed. the staff was extremely nice, friendly, and caring. most of the people here are ages 18-25 so they are loud and careless after hours. they ate my food even though it was packed and labeled. our shower did not have hot water but the others accrossed the hallway did.     overall: okay"
USA,Female,18-24,9.1,8,10,8,8,10,10,10,"this was a great house, with a great atmosphere. the staff really made me feel welcome and it was a very social place, everyone hung out. good location, close to a lot of bars. there was plenty of street parking which was awesome because i&#039;m on a road trip. overall one of my favorite hostel experiences. "
