nationality,gender,age,overall rating,value for money rating,security rating,location rating,facilities rating,staff rating,atmosphere rating,cleanliness rating,text review
Australia,Male,25-30,10,10,10,10,10,10,10,10,beautiful hostel and friendly staff.
USA,Female,18-24,9.4,10,8,8,10,10,10,10,first stay at a hostel and i couldn't have enjoyed it more!
USA,Female,18-24,9.7,10,10,10,10,10,8,10,"i would definitely state again when i come back to downtown los angeles. it was perfect for someone who is just visiting a weekend and needs to place crash. the rooftop pool was amazing and relaxing. overall, the place was beautiful and the folks staying there were also really nice. "
England,Male,25-30,9.4,10,10,8,10,8,10,10,"this place looks good on the website, then you get there and it's even better.  imagine if soho house did hostels, this is what you'd get.  it's essentially a really nice hotel, which happens to also have dorm rooms.  staff were really friendly and i met some great people there.  the rooftop pool is lovely to!  rooms are very comfortable with great bathrooms as well.  not sure i'm ever gonna find another hostel that'll match up to this one!"
USA,Female,18-24,9.7,10,10,10,8,10,10,10,"amazing stay! i didn't want to leave.    free breakfast in the lounge was a bit underwhelming, but am i even allowed to complain about a free breakfast? especially when the rest of the facilities are absolutely killer... i can't wait to come back.    xoxox"
Canada,Male,25-30,8.6,8,10,8,8,8,8,10,"amazing hostel, the rooftop bar is as stunning a place to hangout as you could ever ask for! drinks are pricey for a hostel, but it’s l.a. so that’s to be expected. rooms were very clean and well maintained, bed is large enough for anyone up to about 6’4 or 195cm. not the most social hostel, most people tend to stick to themselves, but altogether, amazing value and a sense of luxury that is rarely felt when staying at a hostel. i will definitely return and would recommend anyone to stay here. "
USA,MixedGroup,25-30,6.9,4,8,10,6,10,6,4,"freehand la was a very fancy hostel (more like hotel), but there were just a few things that did not make it my all-time favorite hostel. the check-in process took awhile, due to a technical issue on their end. definitely an older adult vibe. was told it was happy hour at bar, but when ordering drinks told there was no happy hour that night (weird). very pricey bar!  a bed in our room was not clean &amp; seemed someone recently slept there, which makes me wonder how clean the rooms actually are....."
Australia,Male,25-30,9.7,10,10,8,10,10,10,10,"awesome venue. staff were very friendly and helpful. the accomodation was all modern, private and very comfortable. overall was far better than what i expected. the bar upstairs has a cool vibe and is an awesome place to socialise. would stay there again."
Australia,Male,25-30,10,10,10,10,10,10,10,10,by far and away he best hostel i've stayed in - totally worth the extra cost. also thought the atmosphere and mix of people was a lot of fun. will definitely stay here next time i'm in la!
India,AllFemaleGroup,18-24,9.1,8,8,8,10,10,10,10,"warm and welcoming staff, brunch is very good, beautiful property and very well connected to downtown la. highly recommended!"
USA,Male,25-30,9.1,8,10,10,8,8,10,10,"(pros) has separate bathrooms for each room, nice big lockers, badass receptions (cons) shower head is weak, water taste funny, surplus for taxes and safety deposit is a bit high. "
Canada,Male,25-30,10,10,10,10,10,10,10,10,"this is the best hostels out there, it’s more like a hotel type, but you only pay hostel price. i like it awesome. you can’t go wrong. true voice from heart. "
England,Couple,18-24,5.1,2,8,4,8,2,6,6,staff specially downstairs bar staff are bitchy and rude. don’t work in hospitality if you’re gonna have attitude. you won’t get deposit back into account either. however! food and rooms are decent and while i have complaints against most staff there are decent people! just too clicky etc. not for people who aren’t into popularity contests or social clicks! but that is l.a. for you 
Australia,Male,25-30,9.7,10,10,10,10,10,8,10,fantastic hostel definitely y=the best in la
Indonesia,Male,25-30,8.6,6,10,10,10,8,6,10,"overall this is a very good hotel, locqtion is near everything and the room is very fancy and more like a hotel setup vs a hostel setup    since this were more like a hotel, there arent many chances that people would be able to interact between fellow traveller"
Canada,Male,31-40,9.7,8,10,10,10,10,10,10,excellent hostel. one of the best i've ever stayed around the world. will definitely stay again next time i'm back to la.
Canada,Female,25-30,10,10,10,10,10,10,10,10,"amazing place. more of a hotel than a hostel, great service, super awesome rooftop pool with strong wifi signal everywhere. i was in town working remotely and had no issues connecting, making calls, etc. pool side. it was a wonderful stay! quiet rooms, super clean, lively hotel lobby. will definitely stay again!"
Canada,Male,31-40,10,10,10,10,10,10,10,10,"one of my favorite hostels so far.. sooo nice and clean, beautiful place with awesome pool and bar.. a bit more pricier then most hostels but def worth it!"
Austria,Male,25-30,9.4,10,10,8,10,8,10,10,"this place is just beautiful.! the dorm was small, but cosy and the genius design of the beds , and layout of the room gave more privacy than usual in a dorm and made the room appear much bigger than it was.  at night, it was quiet.  staff was super friendly and helpful and the rooftop-terarce is  just beautiful.  the inner city location was great for getting around. i am not sure whether i would feel safe walking around there late at night (but that is always hard to judge in anohter city)  "
Australia,Female,18-24,10,10,10,10,10,10,10,10,"the hostel was amazing! very clean, staff are friendly and great ambiance! there is a very nice roof top bar/pool and a very nice israelan restaurant at the exchange. i would go back anytime. "
USA,Female,25-30,9.7,10,10,10,10,8,10,10,we only stayed here one night. we wished we had been able to stay a few more days. it was a great location. this was my first time staying in a hostel in the states. it was very clean and safe. the staff was very helpful. when we called to ask about parking we were told the valet was the best option for $44 and we may be able to find something for $30. however we found a place right down the street for $12. 
Canada,Male,41+,9.7,10,10,10,10,10,8,10,"excellent clean hostel with solid wooden bunk beds with minimal shaking.  every bunk has an light, electrical outlet, a curtain for privacy and a shelf that can hold a lot of personal items.  rooms also have their own bathrooms opposite of having to go outside.  every bed also has a dedicated locker for valuables.    location was perfect for me as i was in town to attend a kings' game at staples center, the hostel is located a 15 min walk from the arena."
Namibia,Female,25-30,10,10,10,10,10,10,10,10,i loved everything about freehand. louis (i could have his name spelled wrong) checked me in even though i got there about 2hours before check in time. he also recommended activities for me to check out. lovely place!
Australia,Female,31-40,8.3,6,10,8,10,10,4,10,"more like a hotel than a hostel, not great for solo travelers who want to find people to chat to. but the rooftop pool and bar make a great place to chill out. "
Ireland,Male,31-40,10,10,10,10,10,10,10,10,"first class hostel, the whole stay with rooftop bar and pool was truly a hostel experience that i never had before. very near the metro station so you can base yourself there and tour the other areas of la at ease retuning to these amazing surroundings at night to relax. "
Canada,Male,25-30,10,10,10,10,10,10,10,10,"had a wonderful time at this location. staff was friendly and cool, the facilities were good, the place is super clean, and the aesthetics of the place was amazing."
Australia,Female,18-24,6.6,8,10,10,2,8,4,4,no laundry although the website said there was. kitchen was small and common areas were public to everyone. the lounge was more of a dining hall style. could not take your own food and eat at the rooftop which was disappointing.  room was good although there was no bin in room or good storage for big suitcases (especially when there was 4 big suitcases in the room at one time).
NewZealand,Male,25-30,8.9,8,10,10,8,8,10,8,really nice hostel.   highly recommend it.     only issue was the shower didn't drain well so there was a pool of water you stood in while showering.     otherwise a really nice hostel (better than the motel i stayed at and paid significantly more for during the rest of my trip)
Australia,Female,18-24,9.4,10,10,8,10,10,8,10,"really great hotel! stayed in a mixed bed dorm; beds were comfy and you had your own locker and charging points at each bed. free wifi was very handy, breakfast was good and is a 5 minute walk to the train station. staff were friendly and very helpful, would stay here again for sure!"
Canada,Male,18-24,9.4,10,8,8,10,10,10,10,"great overall stay! this place is pretty much a hotel the entire hostel is one of the nicest i have seen for its price. affordable and really good amenities. rooftop patio is amazing, especially during the night when its converted to a social gathering space. my only small complaint would be that the breakfast area is small so it may be tough to find seating. also the location is in downtown la so it's a bit travel if you want to go to venice beach. i would definitely recommend this place."
Kuwait,Male,25-30,5.7,2,8,4,8,6,2,10,the rest room didn’t have a lock 4 a reason  it’s overpriced compare in what i had in sfo
BosniaAndHerzegovina,Male,25-30,10,10,10,10,10,10,10,10,"great location and great price.    be careful about the parking, there are some places very close with good prices and some places where you have to pay 40usd+ for a night!"
USA,Male,31-40,9.7,8,10,10,10,10,10,10,"besides getting double charge which was a computer error, the staff worked with me on that. friendly staff and nice and clean. "
